"CI","CI_low","CI_high","median","Ciclo","Edad_cat"
0.95,0.3421,0.4091,0,"1","Menores a 35"
0.95,0.3394,0.4072,0,"1","35 a 44"
0.95,0.2188,0.2773,0,"1","45 a 59"
0.95,4e-4,0.0066,0,"1","60 y más"
0.95,0.3392,0.401,0,"2","Menores a 35"
0.95,0.3388,0.4007,0,"2","35 a 44"
0.95,0.2263,0.2847,0,"2","45 a 59"
0.95,4e-4,0.0077,0,"2","60 y más"
0.95,0.2983,0.3734,0,"3","Menores a 35"
0.95,0.3514,0.4277,0,"3","35 a 44"
0.95,0.2402,0.3108,0,"3","45 a 59"
0.95,0,0.0057,0,"3","60 y más"
0.95,0.2818,0.3388,0,"4","Menores a 35"
0.95,0.3221,0.3821,0,"4","35 a 44"
0.95,0.3043,0.363,0,"4","45 a 59"
0.95,0.0018,0.011,0,"4","60 y más"
