"variable","CI_95%_low","Estimacion_puntual","CI_95%_high","Ciclo","strata"
"Media de edad",35.4397625,36.82085,38.2079325,1,"Centro de Distribución"
"Media de edad",36.68857,37.323,37.98212,1,"Centro de ventas"
"Media de edad",37.099025000000005,38.12175,39.1517175,1,"Planta de producción"
"Media de edad",35.4448325,36.705749999999995,37.9477225,2,"Centro de Distribución"
"Media de edad",37.497080000000004,38.1461,38.80867,2,"Centro de ventas"
"Media de edad",36.250725,37.281800000000004,38.293735,2,"Planta de producción"
"Media de edad",38.678335,40.3707,42.00768,3,"Centro de Distribución"
"Media de edad",37.38542,38.20015,39.02176000000001,3,"Centro de ventas"
"Media de edad",38.2411675,39.2348,40.290045,3,"Planta de producción"
"Media de edad",37.42685,39.217650000000006,41.193844999999996,4,"Centro de Distribución"
"Media de edad",38.88678,39.48195,40.10096,4,"Centro de ventas"
"Media de edad",39.636247499999996,40.734300000000005,41.82571,4,"Planta de producción"
